,Depth_ft,Caliper_in,source_file,Diameter_auger_in,calibrated_in,calibrated_cm,Well_Diameter_Deviation_Percentage,Depth [m]
21175,83.7608,5.23259,LRS69D_caliper_20210910.LAS,6,6.603647325710623,16.773264207304983,10.060788761843725,-25.530291840000004
21176,83.6611,5.27509,LRS69D_caliper_20210910.LAS,6,6.648069151158066,16.886095643941488,10.8011525193011,-25.49990328
21177,83.5614,5.21833,LRS69D_caliper_20210910.LAS,6,6.588742496748727,16.735405941741767,9.812374945812124,-25.469514720000003
21178,83.4617,5.26195,LRS69D_caliper_20210910.LAS,6,6.6343349679491395,16.851210818590815,10.57224946581899,-25.43912616
21179,83.362,5.34947,LRS69D_caliper_20210910.LAS,6,6.725812571788205,17.08356393234204,12.09687619647008,-25.4087376
21180,83.2623,5.59385,LRS69D_caliper_20210910.LAS,6,6.9812432942081175,17.732357967288618,16.354054903468626,-25.37834904
21181,83.1626,5.56812,LRS69D_caliper_20210910.LAS,6,6.954349798472525,17.664048488120216,15.905829974542085,-25.34796048
21182,83.0629,5.61398,LRS69D_caliper_20210910.LAS,6,7.002283561178872,17.785800245394334,16.70472601964786,-25.317571920000002
21183,82.9631,5.60084,LRS69D_caliper_20210910.LAS,6,6.988549377969944,17.750915420043658,16.475822966165733,-25.28715288
21184,82.8634,5.48564,LRS69D_caliper_20210910.LAS,6,6.868140100521815,17.44507585532541,14.469001675363588,-25.256764320000002
21185,82.7637,5.3531,LRS69D_caliper_20210910.LAS,6,6.729606718291128,17.093201064459468,12.160111971518806,-25.22637576
21186,82.664,5.20239,LRS69D_caliper_20210910.LAS,6,6.572081699157381,16.693087515859748,9.534694985956344,-25.1959872
21187,82.5643,5.21106,LRS69D_caliper_20210910.LAS,6,6.581143751548659,16.716105128933595,9.685729192477648,-25.165598640000002
21188,82.4646,5.10117,LRS69D_caliper_20210910.LAS,6,6.466284589232903,16.424362856651573,7.771409820548388,-25.135210080000004
21189,82.3649,5.19987,LRS69D_caliper_20210910.LAS,6,6.569447746213203,16.686397275381534,9.490795770220045,-25.10482152
21190,82.2652,5.38134,LRS69D_caliper_20210910.LAS,6,6.759123714776676,17.168174235532756,12.652061912944598,-25.07443296
21191,82.1655,5.18981,LRS69D_caliper_20210910.LAS,6,6.558932838824937,16.65968941061534,9.31554731374895,-25.0440444
21192,82.0658,5.28879,LRS69D_caliper_20210910.LAS,6,6.662388657243477,16.922467189398432,11.039810954057955,-25.01365584
21193,81.9661,5.482,LRS69D_caliper_20210910.LAS,6,6.8643355018246694,17.43541217463466,14.405591697077824,-24.98326728
21194,81.8663,5.56337,LRS69D_caliper_20210910.LAS,6,6.949385006216634,17.65143791579025,15.823083436943897,-24.95284824
21195,81.7666,5.37156,LRS69D_caliper_20210910.LAS,6,6.748901468826652,17.142209730819697,12.481691147110869,-24.92245968
21196,81.6669,5.32262,LRS69D_caliper_20210910.LAS,6,6.697748430299643,17.012281012961093,11.629140504994046,-24.89207112
21197,81.5672,5.40399,LRS69D_caliper_20210910.LAS,6,6.782797934691608,17.228306754116684,13.046632244860135,-24.861682560000002
21198,81.4675,5.56113,LRS69D_caliper_20210910.LAS,6,6.9470437147106985,17.645491035365175,15.784061911844974,-24.831294000000003
21199,81.3678,5.5136,LRS69D_caliper_20210910.LAS,6,6.897364435569122,17.51930566634557,14.956073926152028,-24.80090544
21200,81.2681,5.53988,LRS69D_caliper_20210910.LAS,6,6.924832801986976,17.58907531704692,15.413880033116264,-24.770516880000002
21201,81.1684,5.31312,LRS69D_caliper_20210910.LAS,6,6.687818845787861,16.987059868301166,11.463647429797685,-24.740128320000004
21202,81.0687,5.03434,LRS69D_caliper_20210910.LAS,6,6.396432575241077,16.246938741112334,6.6072095873512815,-24.709739760000005
21203,80.969,5.47166,LRS69D_caliper_20210910.LAS,6,6.853527932998161,17.40796094981533,14.225465549969352,-24.6793512
21204,80.8693,5.42832,LRS69D_caliper_20210910.LAS,6,6.808228123235992,17.292899433019418,13.470468720599863,-24.64896264
21205,80.7695,5.13053,LRS69D_caliper_20210910.LAS,6,6.49697223147142,16.50230946793741,8.282870524523672,-24.6185436
21206,80.6698,5.17779,LRS69D_caliper_20210910.LAS,6,6.546369301368978,16.627778025477205,9.106155022816303,-24.58815504
21207,80.5701,5.15514,LRS69D_caliper_20210910.LAS,6,6.522695081454047,16.567645506893278,8.71158469090078,-24.55776648
21208,80.4704,5.28124,LRS69D_caliper_20210910.LAS,6,6.654497250605168,16.902423016537128,10.90828751008613,-24.52737792
21209,80.3707,5.31787,LRS69D_caliper_20210910.LAS,6,6.692783638043752,16.99967044063113,11.546393967395874,-24.49698936
21210,80.271,5.17862,LRS69D_caliper_20210910.LAS,6,6.547236833489481,16.62998155706328,9.120613891491347,-24.466600800000002
21211,80.1713,5.13473,LRS69D_caliper_20210910.LAS,6,6.501362153045051,16.51345986873443,8.356035884084179,-24.436212240000003
21212,80.0716,5.31675,LRS69D_caliper_20210910.LAS,6,6.691612992290785,16.996697000418592,11.526883204846412,-24.40582368
21213,79.9719,5.33549,LRS69D_caliper_20210910.LAS,6,6.7112004042645514,17.04644902683196,11.853340071075857,-24.375435120000002
21214,79.8722,5.22392,LRS69D_caliper_20210910.LAS,6,6.594585273319344,16.750246594231136,9.909754555322408,-24.345046560000004
21215,79.7725,5.01589,LRS69D_caliper_20210910.LAS,6,6.377148276899774,16.197956623325428,6.285804614996238,-24.314657999999998
21216,79.6727,5.13305,LRS69D_caliper_20210910.LAS,6,6.499606184415598,16.50899970841562,8.326769740259971,-24.284238960000003
21217,79.573,5.18114,LRS69D_caliper_20210910.LAS,6,6.549870786433659,16.636671797541496,9.16451310722765,-24.253850399999997
21218,79.4733,4.99632,LRS69D_caliper_20210910.LAS,6,6.356693332805504,16.14600106532598,5.944888880091733,-24.22346184
21219,79.3736,5.03295,LRS69D_caliper_20210910.LAS,6,6.394979720244089,16.243248489419987,6.582995337401476,-24.19307328
21220,79.2739,5.08523,LRS69D_caliper_20210910.LAS,6,6.449623791641557,16.382044430769554,7.493729860692611,-24.16268472
21221,79.1742,5.01421,LRS69D_caliper_20210910.LAS,6,6.375392308270323,16.19349646300662,6.256538471172046,-24.13229616
21222,79.0745,5.08663,LRS69D_caliper_20210910.LAS,6,6.451087098832767,16.38576123103523,7.518118313879452,-24.1019076
21223,78.9748,4.98793,LRS69D_caliper_20210910.LAS,6,6.347923941852469,16.12372681230527,5.798732364207812,-24.071519040000002
21224,78.8751,4.96388,LRS69D_caliper_20210910.LAS,6,6.322786414746326,16.05987749345567,5.379773579105432,-24.041130480000003
21225,78.7754,4.96556,LRS69D_caliper_20210910.LAS,6,6.324542383375778,16.064337653774476,5.40903972292964,-24.01074192
21226,78.6757,4.95074,LRS69D_caliper_20210910.LAS,6,6.3090522315373985,16.024992668104993,5.150870525623308,-23.980353360000002
21227,78.5759,4.94263,LRS69D_caliper_20210910.LAS,6,6.300575502022604,16.003461775137414,5.0095917003767365,-23.949934320000004
21228,78.4762,4.93564,LRS69D_caliper_20210910.LAS,6,6.293269418260778,15.984904322382375,4.887823637679626,-23.919545760000002
21229,78.3765,4.93145,LRS69D_caliper_20210910.LAS,6,6.288889948881371,15.973780470158683,4.8148324813561825,-23.8891572
21230,78.2768,4.95689,LRS69D_caliper_20210910.LAS,6,6.315480330984499,16.04132004070063,5.258005516408323,-23.85876864
21231,78.1771,4.92921,LRS69D_caliper_20210910.LAS,6,6.286548657375435,15.967833589733605,4.775810956257246,-23.82838008
21232,78.0774,4.91942,LRS69D_caliper_20210910.LAS,6,6.276315959231188,15.941842536447218,4.605265987186469,-23.79799152
21233,77.9777,4.97367,LRS69D_caliper_20210910.LAS,6,6.333019112890573,16.085868546742056,5.550318548176211,-23.76760296
21234,77.878,4.98709,LRS69D_caliper_20210910.LAS,6,6.347045957537742,16.121496732145864,5.7840992922957,-23.737214400000003
21235,77.7783,4.99352,LRS69D_caliper_20210910.LAS,6,6.353766718423085,16.138567464794637,5.89611197371808,-23.70682584
21236,77.6786,5.05783,LRS69D_caliper_20210910.LAS,6,6.420984779470734,16.309301339855665,7.0164129911789,-23.676437280000002
21237,77.5789,4.9787,LRS69D_caliper_20210910.LAS,6,6.338276566584705,16.09922247912515,5.63794277641175,-23.646048720000003
21238,77.4791,4.9404,LRS69D_caliper_20210910.LAS,6,6.298244662710892,15.997541443285666,4.9707443785148655,-23.61562968
21239,77.3794,4.96332,LRS69D_caliper_20210910.LAS,6,6.322201091869842,16.058390773349398,5.370018197830703,-23.585241120000003
21240,77.2797,4.99688,LRS69D_caliper_20210910.LAS,6,6.357278655681989,16.14748778543225,5.954644261366479,-23.554852560000004
21241,77.18,4.97255,LRS69D_caliper_20210910.LAS,6,6.331848467137605,16.082895106529516,5.530807785626749,-23.524464000000002
21242,77.0803,5.02652,LRS69D_caliper_20210910.LAS,6,6.388258959358747,16.226177756771218,6.470982655979111,-23.49407544
21243,76.9806,5.01254,LRS69D_caliper_20210910.LAS,6,6.373646791835094,16.18906285126114,6.2274465305849045,-23.46368688
21244,76.8809,4.98653,LRS69D_caliper_20210910.LAS,6,6.346460634661258,16.120010012039597,5.774343911020971,-23.43329832
21245,76.7812,4.94123,LRS69D_caliper_20210910.LAS,6,6.299112194831395,15.999744974871742,4.98520324718991,-23.40290976
21246,76.6815,4.97059,LRS69D_caliper_20210910.LAS,6,6.329799837069911,16.077691586157574,5.4966639511651785,-23.3725212
21247,76.5818,4.9924,LRS69D_caliper_20210910.LAS,6,6.352596072670116,16.135594024582094,5.876601211168605,-23.342132640000003
21248,76.4821,4.95354,LRS69D_caliper_20210910.LAS,6,6.3119788459198185,16.03242626863634,5.199647431996976,-23.31174408
21249,76.3823,4.90768,LRS69D_caliper_20210910.LAS,6,6.264045083213471,15.910674511362217,4.400751386891185,-23.281325040000002
21250,76.2826,4.92278,LRS69D_caliper_20210910.LAS,6,6.279827896490093,15.950762857084836,4.663798274834882,-23.250936480000004
21251,76.1829,5.01002,LRS69D_caliper_20210910.LAS,6,6.371012838890915,16.182372610782924,6.183547314848589,-23.22054792
21252,76.0832,5.03966,LRS69D_caliper_20210910.LAS,6,6.401993142567673,16.26106258212189,6.699885709461221,-23.190159360000003
21253,75.9835,5.23455,LRS69D_caliper_20210910.LAS,6,6.605695955778317,16.778467727676926,10.094932596305279,-23.159770800000004
21254,75.8838,5.24937,LRS69D_caliper_20210910.LAS,6,6.621186107616696,16.817812713346406,10.353101793611597,-23.129382239999998
21255,75.7841,5.16185,LRS69D_caliper_20210910.LAS,6,6.529708503777631,16.585459599595183,8.82847506296051,-23.09899368
21256,75.6844,5.23007,LRS69D_caliper_20210910.LAS,6,6.601013372766445,16.766573966826773,10.016889546107421,-23.06860512
21257,75.5847,5.05867,LRS69D_caliper_20210910.LAS,6,6.421862763785461,16.31153142001507,7.0310460630910105,-23.038216560000002
21258,75.485,5.08999,LRS69D_caliper_20210910.LAS,6,6.454599036091671,16.394681551672843,7.57665060152785,-23.007828
21259,75.3853,5.27146,LRS69D_caliper_20210910.LAS,6,6.644275004655144,16.876458511824065,10.737916744252402,-22.97743944
21260,75.2855,5.14563,LRS69D_caliper_20210910.LAS,6,6.512755044748041,16.542397813660024,8.545917412467352,-22.9470204
21261,75.1858,5.33381,LRS69D_caliper_20210910.LAS,6,6.709444435635099,17.04198886651315,11.82407392725165,-22.91663184
21262,75.0861,5.43335,LRS69D_caliper_20210910.LAS,6,6.813485576930124,17.306253365402515,13.558092948835402,-22.886243280000002
21263,74.9864,5.23427,LRS69D_caliper_20210910.LAS,6,6.605403294340075,16.77772436762379,10.090054905667916,-22.855854720000004
21264,74.8867,5.17751,LRS69D_caliper_20210910.LAS,6,6.546076639930735,16.627034665424066,9.10127733217892,-22.82546616
21265,74.787,5.23594,LRS69D_caliper_20210910.LAS,6,6.607148810775304,16.782157979369273,10.119146846255072,-22.795077600000003
21266,74.6873,5.29271,LRS69D_caliper_20210910.LAS,6,6.666485917378865,16.932874230142318,11.108098622981084,-22.76468904
21267,74.5876,5.17779,LRS69D_caliper_20210910.LAS,6,6.546369301368978,16.627778025477205,9.106155022816303,-22.734300479999998
21268,74.4879,5.10844,LRS69D_caliper_20210910.LAS,6,6.473883334432973,16.443663669459752,7.898055573882878,-22.70391192
21269,74.3882,5.22979,LRS69D_caliper_20210910.LAS,6,6.600720711328203,16.765830606773637,10.012011855470055,-22.67352336
21270,74.2885,5.20463,LRS69D_caliper_20210910.LAS,6,6.574422990663316,16.699034396284823,9.573716511055268,-22.643134800000002
21271,74.1887,5.1515,LRS69D_caliper_20210910.LAS,6,6.518890482756901,16.55798182620253,8.648174712615015,-22.61271576
21272,74.089,5.17471,LRS69D_caliper_20210910.LAS,6,6.543150025548316,16.619601064892723,9.05250042580527,-22.5823272
21273,73.9893,5.07573,LRS69D_caliper_20210910.LAS,6,6.439694207129775,16.356823286109627,7.328236785496249,-22.55193864
21274,73.8896,4.98877,LRS69D_caliper_20210910.LAS,6,6.3488019261671935,16.12595689246467,5.813365436119891,-22.52155008
21275,73.7899,4.95018,LRS69D_caliper_20210910.LAS,6,6.308466908660915,16.023505947998725,5.141115144348577,-22.491161520000002
21276,73.6902,4.93117,LRS69D_caliper_20210910.LAS,6,6.288597287443128,15.973037110105546,4.809954790718804,-22.460772960000003
21277,73.5905,5.02624,LRS69D_caliper_20210910.LAS,6,6.387966297920505,16.225434396718082,6.466104965341746,-22.4303844
21278,73.4908,5.21525,LRS69D_caliper_20210910.LAS,6,6.585523220928066,16.72722898115729,9.758720348801104,-22.39999584
21279,73.3911,5.08188,LRS69D_caliper_20210910.LAS,6,6.446122306576876,16.373150658705264,7.435371776281263,-22.36960728
21280,73.2914,5.24545,LRS69D_caliper_20210910.LAS,6,6.617088847481308,16.807405672602524,10.284814124688468,-22.33921872
21281,73.1917,5.33101,LRS69D_caliper_20210910.LAS,6,6.70651782125268,17.03455526598181,11.775297020878,-22.30883016
21282,73.0919,5.19372,LRS69D_caliper_20210910.LAS,6,6.563019646766102,16.670069902785897,9.383660779435028,-22.27841112
21283,72.9922,5.14395,LRS69D_caliper_20210910.LAS,6,6.51099907611859,16.537937653341217,8.51665126864316,-22.24802256
21284,72.8925,5.00331,LRS69D_caliper_20210910.LAS,6,6.363999416567331,16.16455851808102,6.066656942788843,-22.217634
21285,72.7928,5.00107,LRS69D_caliper_20210910.LAS,6,6.361658125061395,16.158611637655945,6.027635417689922,-22.18724544
21286,72.6931,5.04721,LRS69D_caliper_20210910.LAS,6,6.409884549205985,16.281106754983202,6.831409153433077,-22.156856880000003
21287,72.5934,5.01589,LRS69D_caliper_20210910.LAS,6,6.377148276899774,16.197956623325428,6.285804614996238,-22.12646832
21288,72.4937,5.02987,LRS69D_caliper_20210910.LAS,6,6.3917604444234275,16.235071528835505,6.529340740390459,-22.096079760000002
21289,72.394,5.17695,LRS69D_caliper_20210910.LAS,6,6.5454913170542515,16.6255479453178,9.091521950904191,-22.065691200000003
