run_id,timestamp,stage,well_id,date,method_signature,input_file,output_file,params_json,notes
38d3cf17,2026-05-06T23:27:14,breakpoints,LRS70D,20220131,bp-lowess-max15-t3,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-06T23:34:46
ca493aa1,2026-05-07T00:09:04,breakpoints,AW5D,20220213,bp-savgol-max15-t3,data\raw\sec\2022_02\AW5_D_YSI_20220213.csv,data\breakpoints\2022_02\AW5D_20220213__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:15:34
38d3cf17,2026-05-07T00:15:34,breakpoints,AW5D,20220213,bp-lowess-max15-t3,data\raw\sec\2022_02\AW5_D_YSI_20220213.csv,data\breakpoints\2022_02\AW5D_20220213__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:18:52
ca493aa1,2026-05-07T00:19:05,breakpoints,AW6D,20220219,bp-savgol-max15-t3,data\raw\sec\2022_02\AW6_D_YSI_20220219.csv,data\breakpoints\2022_02\AW6D_20220219__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:25:39
38d3cf17,2026-05-07T00:25:39,breakpoints,AW6D,20220219,bp-lowess-max15-t3,data\raw\sec\2022_02\AW6_D_YSI_20220219.csv,data\breakpoints\2022_02\AW6D_20220219__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:31:24
ca493aa1,2026-05-07T00:31:36,breakpoints,BW3D,20220202,bp-savgol-max15-t3,data\raw\sec\2022_02\BW3_D_YSI_20220202.csv,data\breakpoints\2022_02\BW3D_20220202__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:37:18
38d3cf17,2026-05-07T00:37:18,breakpoints,BW3D,20220202,bp-lowess-max15-t3,data\raw\sec\2022_02\BW3_D_YSI_20220202.csv,data\breakpoints\2022_02\BW3D_20220202__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:44:52
ca493aa1,2026-05-07T00:45:05,breakpoints,LRS69D,20220212,bp-savgol-max15-t3,data\raw\sec\2022_02\LRS69_D_YSI_20220212.csv,data\breakpoints\2022_02\LRS69D_20220212__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T00:55:44
38d3cf17,2026-05-07T00:55:44,breakpoints,LRS69D,20220212,bp-lowess-max15-t3,data\raw\sec\2022_02\LRS69_D_YSI_20220212.csv,data\breakpoints\2022_02\LRS69D_20220212__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T01:06:50
ca493aa1,2026-05-07T01:07:02,breakpoints,LRS70D,20220131,bp-savgol-max15-t3,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-savgol-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""savgol"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T01:12:39
38d3cf17,2026-05-07T01:12:39,breakpoints,LRS70D,20220131,bp-lowess-max15-t3,data\raw\sec\2022_02\LRS70_D_YSI_20220131.csv,data\breakpoints\2022_02\LRS70D_20220131__bp-lowess-max15-t3.json,"{""max_breakpoints"":15,""method"":""breakpoints"",""min_distance"":0.01,""n_trials"":3,""smoothing_method"":""lowess"",""tolerance"":1e-05,""y_space"":""log10""}",batch run 2026-05-07T01:18:55
