Vertical Position [m],Corrected sp Cond [uS/cm]
1.977,5549.652676328493
1.981,5550.119652173903
1.993,5550.569758454096
1.999,5550.998782608685
2.004,5551.410396135256
2.015,5551.806434782599
2.022,5552.19420289854
2.029,5552.557449275352
2.034,5552.897391304337
2.048,5553.215768115932
2.057,5553.522202898541
2.064,5553.812483091778
2.087,5554.095169082117
2.098,5554.374705314
2.107,5554.639256038638
2.119,5554.898009661825
2.14,5555.141169082116
2.147,5555.384753623179
2.154,5555.618695652164
2.173,5555.850396135256
2.183,5556.070753623179
2.191,5556.2952463768015
2.21,5556.513130434773
2.217,5556.726048309169
2.221,5556.921227053131
2.23,5557.1149758454
2.236,5557.297130434773
2.244,5557.464830917865
2.251,5557.644299516898
2.256,5557.830647342986
2.272,5558.019371980666
2.281,5558.211053140087
2.289,5558.3967439613425
2.294,5558.579690821246
2.309,5558.765748792261
2.317,5558.948966183566
2.325,5559.123584541052
2.34,5559.296038647333
2.344,5559.460763285015
2.348,5559.632927536222
2.36,5559.801352656996
2.365,5559.963497584531
2.378,5560.116850241536
2.386,5560.261314009651
2.391,5560.3967922705215
2.397,5560.530492753613
2.412,5560.652734299507
2.417,5560.775613526559
2.421,5560.89922705313
2.432,5561.02386473429
2.438,5561.137816425111
2.441,5561.260869565207
2.454,5561.39611594202
2.459,5561.527536231874
2.463,5561.665777777768
2.472,5561.809487922696
2.477,5561.957507246367
2.481,5562.096676328492
2.485,5562.2331400966095
2.502,5562.365739130425
2.508,5562.493314009652
2.513,5562.622009661826
2.529,5562.745971014483
2.535,5562.876425120763
2.539,5562.9981835748695
2.55,5563.115555555546
2.558,5563.228154589362
2.563,5563.333371980667
2.571,5563.431207729458
2.587,5563.521855072455
2.593,5563.610589371971
2.598,5563.698183574869
2.614,5563.778492753613
2.622,5563.850454106269
2.627,5563.913198067623
2.646,5563.978241545884
2.655,5564.0381835748685
2.662,5564.098231884049
2.683,5564.15572946859
2.694,5564.194057971004
2.703,5564.212637681149
2.711,5564.215971014482
2.729,5564.208946859893
2.736,5564.187256038638
2.744,5564.156753623178
2.756,5564.121458937188
2.759,5564.054415458927
2.763,5563.984550724628
2.77,5563.904850241536
2.773,5563.803797101439
2.781,5563.701565217381
2.787,5563.5921062801835
2.788,5563.474647342985
2.792,5563.351217391295
2.803,5563.224231884049
