delta_m,well_id,cluster_id,depth_median,depth_min,depth_max,depth_iqr,n_savgol,n_lowess,persistence,agreement,cluster_diameter_m,wide_flag,n_bp_total
0.5,BW3D,9,22.462830482345353,22.40741968139249,22.518241283298217,0.055410800952863326,1,1,2,1,0.11082160190572665,False,2
0.5,BW3D,2,11.006095580542478,10.989014631244924,11.010348467782684,0.014099516981882942,5,0,5,0,0.02133383653776022,False,5
0.5,BW3D,7,19.08631661813623,19.08562932550161,19.087003910770846,0.0006872926346197517,0,2,2,0,0.0013745852692359506,False,2
0.5,BW3D,0,4.910926448806866,4.910926448806866,4.910926448806866,0.0,1,0,1,0,0.0,False,1
0.5,BW3D,6,18.45040556902152,18.45040556902152,18.45040556902152,0.0,1,0,1,0,0.0,False,1
0.5,BW3D,12,27.727792388407348,27.727792388407348,27.727792388407348,0.0,0,1,1,0,0.0,False,1
1.0,BW3D,1,8.710535275442012,7.8209077707746975,8.972063519722067,0.20083313952070725,9,9,18,9,1.1511557489473692,False,21
1.0,BW3D,2,12.236650408886685,10.989014631244924,13.788445755654445,1.6014709149207143,8,8,16,8,2.799431124409521,True,35
1.0,BW3D,6,23.521208386448876,22.40741968139249,23.781134015374764,0.44771066686701744,8,8,16,8,1.3737143339822744,False,16
1.0,BW3D,5,20.532465788634894,20.170090879463125,21.354291335607055,0.4208458754257869,5,8,13,5,1.1842004561439303,False,13
1.0,BW3D,4,17.70609996338203,17.344548418438908,19.087003910770846,0.40535279619118825,5,5,10,5,1.7424554923319384,False,12
1.0,BW3D,3,15.095020372573778,15.030622021658962,15.206119813648991,0.018728574460041614,2,4,6,2,0.17549779199002913,False,6
1.0,BW3D,7,26.320777159324123,26.219494113240025,26.437456704650067,0.14176395595282543,2,3,5,2,0.2179625914100427,False,5
1.0,BW3D,0,4.910926448806866,4.910926448806866,4.910926448806866,0.0,1,0,1,0,0.0,False,1
1.0,BW3D,8,27.727792388407348,27.727792388407348,27.727792388407348,0.0,0,1,1,0,0.0,False,1
