well_id,smoothing,N,bp_index,depth_bgl_m,sec_at_bp_uS_cm,cluster_id
AW5D,savgol,9,5,14.787878688352057,6762.368499346442,6
AW5D,savgol,9,6,17.106212579124662,9881.09063358141,8
AW5D,savgol,9,7,18.061307933093673,12889.839233881814,8
AW5D,savgol,9,8,21.118516327233873,17416.728720826548,9
AW5D,savgol,9,9,21.76570301375211,23663.046090343436,9
AW5D,savgol,10,1,3.6392749628172343,663.3453503938107,1
AW5D,savgol,10,2,7.275862195062963,654.9090516154891,3
AW5D,savgol,10,3,10.604609933904037,642.6843173467424,4
AW5D,savgol,10,4,13.036710141683443,636.8390385559394,5
AW5D,savgol,10,5,14.070540855384053,639.2441035794344,6
AW5D,savgol,10,6,14.651412323133787,6417.52819371622,6
AW5D,savgol,10,7,17.26662228521102,10293.935351313576,8
AW5D,savgol,10,8,17.740479007911823,11972.563182455671,8
AW5D,savgol,10,9,18.760563393548775,14054.016491249015,8
AW5D,savgol,10,10,20.363880285248076,15908.687445972117,9
AW5D,savgol,11,1,3.7439559550589587,662.7085062290662,1
AW5D,savgol,11,2,5.831951287695385,658.8368539261759,2
AW5D,savgol,11,3,12.958004627281177,636.0739904198123,5
AW5D,savgol,11,4,14.088964377106546,640.5556384492355,6
AW5D,savgol,11,5,14.540255890442,4656.343275973253,6
AW5D,savgol,11,6,15.028056366273303,7265.275190166368,6
AW5D,savgol,11,7,17.047053099317083,9620.061131840763,8
AW5D,savgol,11,8,17.749618224836677,11985.819535421573,8
AW5D,savgol,11,9,18.595115609793545,13709.923952770398,8
AW5D,savgol,11,10,21.063398502680336,17188.83076643287,9
AW5D,savgol,11,11,21.785524203565185,23753.970492607674,9
AW5D,savgol,12,1,1.3076237143224323,677.1954145924864,0
AW5D,savgol,12,2,3.5380011046450357,663.515660363709,1
AW5D,savgol,12,3,7.249946263260349,655.001685573104,3
AW5D,savgol,12,4,10.61151162380058,642.6632108034299,4
AW5D,savgol,12,5,13.03717449614243,636.8401167789414,5
AW5D,savgol,12,6,14.070540855384053,639.244103579424,6
AW5D,savgol,12,7,14.651412323133785,6417.528193716095,6
AW5D,savgol,12,8,17.27180790174447,10303.58475955335,8
AW5D,savgol,12,9,17.71999536066755,11911.304208094409,8
AW5D,savgol,12,10,18.571259237544783,13673.282680874074,8
AW5D,savgol,12,11,21.07120421958282,17213.04557054206,9
AW5D,savgol,12,12,21.781138148172573,23732.565700720348,9
AW5D,savgol,15,1,1.316505015557425,677.1706714541851,0
AW5D,savgol,15,2,3.6352540575596533,662.8674298384014,1
AW5D,savgol,15,3,5.60921409064087,659.2729128248066,2
AW5D,savgol,15,4,6.272540269445251,657.5636174066,2
AW5D,savgol,15,5,6.700895909962732,655.4323638703468,2
AW5D,savgol,15,6,7.406370443425426,654.926834462009,3
AW5D,savgol,15,7,7.857554393239053,652.5542276475197,3
AW5D,savgol,15,8,10.67455158962401,642.5381734349346,4
AW5D,savgol,15,9,13.034295930893087,636.833432829631,5
AW5D,savgol,15,10,14.070540855384055,639.2441035793448,6
AW5D,savgol,15,11,14.651412323133787,6417.528193715202,6
AW5D,savgol,15,12,17.26662228521111,10293.93535131166,8
AW5D,savgol,15,13,17.740479007911734,11972.563182452635,8
AW5D,savgol,15,14,18.760563393548964,14054.016491245939,8
AW5D,savgol,15,15,20.363880285248154,15908.687445968017,9
AW5D,lowess,1,1,10.55931982453483,654.6469076294205,4
AW5D,lowess,2,1,13.710503387136773,654.64690762944,6
AW5D,lowess,2,2,14.79092970282529,6371.169273269351,6
AW5D,lowess,4,1,13.710503387136772,654.6469076294419,6
AW5D,lowess,4,2,14.792352319010075,6390.286650859232,6
AW5D,lowess,4,3,18.668109849274835,13869.276730217833,8
AW5D,lowess,4,4,20.374526934874574,15948.880783422183,9
AW5D,lowess,5,1,13.710503387136773,654.6469076294165,6
AW5D,lowess,5,2,14.792352319010076,6390.286650858971,6
AW5D,lowess,5,3,18.666640402088625,13865.202633281386,8
AW5D,lowess,5,4,20.798661114169743,16499.20593681135,9
AW5D,lowess,5,5,22.0028269449343,24878.045137373334,9
AW5D,lowess,6,1,13.719651965358903,654.6469076294226,6
AW5D,lowess,6,2,14.642370322872694,4820.7468952011905,6
AW5D,lowess,6,3,14.957135312696137,6678.869974393018,6
AW5D,lowess,6,4,18.73563665088111,13965.488761258763,8
AW5D,lowess,6,5,20.790589337234596,16469.237484706497,9
