Vertical Position [m],Corrected sp Cond [uS/cm]
6.136,6813.8
6.154,6818.1
6.164,6822.4
6.171,6826.1
6.177,6829.3
6.185,6832.3
6.186,6836.0
6.187,6840.700000000001
6.189,6842.3
6.19,6849.9
6.192,6845.15
6.193,6839.15
6.196,6851.2
6.201,6853.8
6.208,6856.5
6.221,6859.1
6.225,6861.5
6.226,6863.9
6.238,6866.1
6.244,6868.5
6.254,6870.8
6.26,6873.2
6.264,6874.4
6.266,6876.7
6.278,6879.0
6.287,6881.5
6.294,6884.1
6.307,6886.6
6.313,6889.0
6.314,6891.5
6.32,6892.5
6.332,6894.8
6.336,6897.2
6.339,6899.8
6.35,6902.4
6.357,6905.0
6.359,6907.5
6.37,6909.5
6.374,6910.5
6.379,6912.5
6.387,6914.6
6.392,6916.8
6.396,6919.2
6.4,6921.4
6.412,6923.3
6.415,6924.3
6.418,6926.1
6.429,6927.7
6.432,6929.95
6.441,6932.1
6.446,6933.4
6.447,6934.7
6.457,6936.1
6.462,6936.9
6.464,6938.6
6.468,6940.2
6.476,6945.7
6.477,6942.0
6.478,6943.8
6.484,6947.7
6.487,6949.7
6.489,6950.8
6.495,6952.9
6.497,6955.9
6.498,6954.5
6.506,6957.4
6.511,6958.8
6.514,6960.4
6.518,6962.3
6.529,6964.0
6.53,6964.9
6.532,6966.6
6.541,6968.2
6.545,6969.8
6.547,6971.6
6.558,6973.3
6.564,6974.9
6.565,6976.3
6.574,6977.1
6.58,6978.7
6.583,6980.1
6.589,6981.6
6.593,6983.2
6.595,6984.7
6.597,6986.1
6.606,6987.6
6.609,6988.3
6.61,6989.8
6.619,6991.2
6.624,6993.6
6.633,6996.1
6.637,6997.7
6.641,6999.4
6.647,7001.0
6.652,7001.9
6.654,7003.5
6.661,7005.1
6.665,7006.8
6.668,7008.5
6.671,7010.2
6.68,7012.0
6.685,7013.8
6.687,7014.7
6.697,7016.5
6.703,7018.3
6.707,7020.0
6.714,7021.6
6.717,7023.3
6.719,7024.9
6.72,7026.5
6.727,7027.4
6.729,7029.1
6.732,7030.7
6.735,7032.2
6.738,7033.9
6.74,7035.5
6.758,7037.4
6.767,7039.1
6.772,7040.8
6.787,7041.6
